u1 u2 u3 u4 u5 u6 u7 
0.23 0.00242237810343 0.0310735118313 0.529915445254 0.0535293131721 0.457906779176 1.97318822614
0.24 0.00274622274063 0.0337108906506 0.530461129251 0.0556023746035 0.477627394891 1.97092186684
0.25 0.00309690156998 0.0364399639654 0.531027388736 0.05764423381 0.497324959097 1.96857828419
0.26 0.00347531985261 0.0392583856357 0.531613906424 0.0596538427092 0.516998710438 1.96615966167
0.27 0.00388235911383 0.0421637553202 0.532220354686 0.0616301811348 0.536647909632 1.9636682307
0.28 0.00431887662156 0.0451536225635 0.532846395837 0.0635722574165 0.556271839938 1.96110626664
0.29 0.00478570490565 0.0482254908901 0.533491682416 0.0654791089093 0.575869807569 1.95847608475
0.3 0.00528365131815 0.0513768218945 0.534155857486 0.0673498024728 0.595441142074 1.95578003612
0.31 0.00581349763439 0.0546050393144 0.534838554925 0.0691834349005 0.614985196676 1.95302050368
0.32 0.00637599969466 0.0579075330766 0.535539399734 0.0709791333004 0.634501348569 1.95019989818
0.33 0.00697188708616 0.0612816633041 0.536258008334 0.0727360554264 0.653988999177 1.94732065431
0.34 0.00760186286486 0.064724764276 0.536993988881 0.074453389962 0.673447574375 1.94438522673
0.35 0.00826660331654 0.0682341483275 0.537746941572 0.0761303567568 0.692876524668 1.94139608626
0.36 0.00896675775665 0.0718071096835 0.538516458958 0.0777662070175 0.712275325335 1.93835571615
0.37 0.009702948368 0.0754409282159 0.539302126263 0.0793602234533 0.731643476532 1.93526660834
0.38 0.0104757700757 0.0791328731171 0.540103521693 0.0809117203781 0.750980503366 1.9321312599
0.39 0.0112857904584 0.0828802064821 0.540920216756 0.0824200437696 0.770285955924 1.92895216948
0.4 0.0121335496947 0.086680186792 0.541751776579 0.083884571288 0.789559409273 1.92573183395
0.41 0.0130195605441 0.0905300722944 0.542597760224 0.0853047122547 0.808800463427 1.92247274508
0.42 0.0139443083611 0.0944271242734 0.543457721003 0.086679907593 0.828008743277 1.91917738634
0.43 0.0149082511413 0.098368610205 0.544331206795 0.0880096297316 0.847183898496 1.91584822985
0.44 0.015911819599 0.102351806795 0.545217760363 0.0892933824743 0.866325603409 1.91248773341
0.45 0.0169554172736 0.106374002891 0.546116919661 0.090530700835 0.885433556836 1.90909833771
0.46 0.0180394206656 0.110432502276 0.547028218149 0.0917211508421 0.904507481905 1.90568246358
0.47 0.0191641793989 0.114524626326 0.547951185103 0.0928643293119 0.923547125844 1.90224250948
0.48 0.02033001641 0.118647716543 0.548885345919 0.0939598635947 0.942552259743 1.89878084902
0.49 0.0215372281609 0.122799136956 0.549830222417 0.0950074112933 0.961522678295 1.8952998287
0.5 0.0227860848762 0.126976276391 0.550785333145 0.0960066599574 0.980458199511 1.89180176571
0.51 0.0240768308014 0.131176550606 0.551750193674 0.0969573267542 0.999358664423 1.88828894593
0.52 0.0254096844831 0.135397404294 0.552724316893 0.0978591581175 1.01822393675 1.88476362199
0.53 0.026784839067 0.139636312964 0.5537072133 0.0987119293775 1.03705390258 1.88122801155
0.54 0.0282024626154 0.143890784677 0.554698391291 0.0995154443715 1.05584846997 1.87768429566
0.55 0.0296626984409 0.148158361662 0.555697357438 0.100269535038 1.07460756862 1.87413461724
0.56 0.0311656654552 0.152436621806 0.556703616773 0.100974060998 1.09333114946 1.87058107975
0.57 0.0327114585332 0.156723180016 0.557716673063 0.101628909117 1.11201918423 1.86702574591
0.58 0.0343001488888 0.161015689456 0.558736029073 0.102233993062 1.13067166513 1.8634706366
0.59 0.0359317844639 0.165311842672 0.559761186841 0.102789252844 1.14928860431 1.85991772987
0.6 0.0376063903269 0.169609372591 0.560791647933 0.10329465435 1.16787003352 1.85636896007
0.61 0.039323969081 0.173906053416 0.561826913703 0.103750188869 1.18641600361 1.85282621709
0.62 0.0410845012813 0.178199701402 0.562866485539 0.104155872615 1.2049265841 1.84929134568
0.63 0.0428879458584 0.182488175532 0.563909865119 0.104511746235 1.22340186276 1.84576614497
0.64 0.0447342405488 0.186769378087 0.564956554644 0.104817874322 1.24184194509 1.84225236801
0.65 0.0466233023305 0.191041255117 0.566006057079 0.105074344922 1.26024695389 1.83875172142
0.66 0.0485550278622 0.195301796819 0.567057876385 0.105281269035 1.27861702882 1.83526586522
0.67 0.0505292939267 0.199549037821 0.568111517747 0.105438780122 1.29695232588 1.83179641262
0.68 0.0525459578759 0.203781057385 0.569166487794 0.105547033605 1.31525301698 1.82834493002
0.69 0.0546048580784 0.207995979516 0.570222294815 0.105606206374 1.33351928945 1.824912937
0.7 0.0567058143663 0.212191973006 0.571278448977 0.10561649629 1.3517513456 1.82150190651
0.71 0.0588486284836 0.216367251394 0.572334462524 0.105578121693 1.36994940222 1.81811326499
0.72 0.0610330845333 0.22052007286 0.573389849988 0.105491320917 1.38811369013 1.81474839267
0.73 0.0632589494222 0.224648740048 0.57444412838 0.105356351797 1.40624445375 1.8114086239
0.74 0.0655259733052 0.228751599834 0.575496817385 0.105173491198 1.42434195059 1.80809524756
0.75 0.0678338900259 0.232827043029 0.576547439549 0.104943034529 1.44240645083 1.80480950749
